Settlement ,Pleiades URI,DARE,Vici URI (Map linking) ,Topostext,Latitude,Longitude,Comments
Segida Restituta Iulia,https://pleiades.stoa.org/places/256439,http://dare.ht.lu.se/places/25212,http://vici.org/vici/16086,https://topostext.org/place/384-65USeg,38.378.494,-6.589.301,
Selambina,https://pleiades.stoa.org/places/266037,http://dare.ht.lu.se/places/26948,http://vici.org/vici/16045,,3.674.623,-3.587.137,
Seria Fama Iulia ,https://pleiades.stoa.org/places/256444,http://dare.ht.lu.se/places/25213,http://vici.org/vici/3655,,38.319.329,-6.771.094,
Seripo,https://pleiades.stoa.org/places/256229,http://dare.ht.lu.se/places/31268,https://vici.org/vici/16062/,,3.697.306,-54.395,
Sexi/Sexs,https://pleiades.stoa.org/places/266038,http://dare.ht.lu.se/places/22440.html,https://vici.org/vici/3752/,,36.734.589,-3.690.755,
Singilia Barba,https://pleiades.stoa.org/places/256453,http://dare.ht.lu.se/places/22437,https://vici.org/vici/41322/,https://topostext.org/place/370000USin,37.032.488,-4.630.364,
Sirpense,no info,,,,,,
Sisapo,http://pleiades.stoa.org/places/266043,http://dare.ht.lu.se/places/23125,http://vici.org/vici/3790,https://topostext.org/place/386000USis,38.645.912,-6.771.094,
Solia ,https://pleiades.stoa.org/places/256456,http://dare.ht.lu.se/places/31317,http://vici.org/vici/15768,,38.475.076,-4.679.484,
Soricaria,https://pleiades.stoa.org/places/270373,,,,375.863,-446.759,No coordinates in Pleaides but Geonames has for Nueva Carte/a. 
Sosontigi,https://pleiades.stoa.org/places/266048,http://dare.ht.lu.se/places/22264.html,https://vici.org/vici/15988/,,37.591.059,-4.086.746,
Sucaelo ,https://pleiades.stoa.org/places/270374,,,,3.751.095,-414.631,No coordinates in Pleaides but Geonames has for Fuente Tojar. 
Suel,https://pleiades.stoa.org/places/266055,http://dare.ht.lu.se/places/25142.html,https://vici.org/vici/3705/,,36.525.435,-4.628.919,
Tagilit,http://pleiades.stoa.org/places/266058,http://dare.ht.lu.se/places/25143.html,https://vici.org/vici/16013/,,37.345.474,-2.439.482,
Tharsis,https://pleiades.stoa.org/places/256470,http://dare.ht.lu.se/places/31319.html,https://vici.org/vici/16076/,,375.997/00,-7.121.426,
Traducta,https://pleiades.stoa.org/places/256235,http://dare.ht.lu.se/places/25200.html,https://vici.org/vici/3701/,,"36.129.768,00",5.447.744,
Tucci,https://pleiades.stoa.org/places/266070,http://dare.ht.lu.se/places/16843.html,https://vici.org/vici/15945/,https://topostext.org/place/377-39UTuc,37.722.761,-3.966.243,
Tugia,https://pleiades.stoa.org/places/266072,http://dare.ht.lu.se/places/26953.html,https://vici.org/vici/3745/,https://topostext.org/place/379000UTug,37.877.689,-3.152.365,
Turobriga,https://pleiades.stoa.org/places/256494,http://dare.ht.lu.se/places/23502.html,https://vici.org/vici/15338/,,37.969.389,-6.949.438,
Turris Regina ,https://pleiades.stoa.org/places/256492,http://dare.ht.lu.se/places/22598,http://vici.org/vici/15818,https://topostext.org/place/367000UTur,3.667.173,-5.806.689,
Tutugi,http://pleiades.stoa.org/places/266078,http://dare.ht.lu.se/places/26954.html,https://vici.org/vici/15744/,,3.774.152,-25.476,
Ucia ,https://pleiades.stoa.org/places/266051,http://dare.ht.lu.se/places/25141,http://vici.org/vici/16012,,38.074.265,-4.186.553,
Ucubi,https://pleiades.stoa.org/places/266081,http://dare.ht.lu.se/places/22435.html,https://vici.org/vici/11454/,https://topostext.org/place/377000UUcu,37.682.102,-4.552.369,
Ugia,https://pleiades.stoa.org/places/256501,http://dare.ht.lu.se/places/25216,http://vici.org/vici/15736,https://topostext.org/place/370000UUrg,36.990.065,-582.933,
Ugultunia,https://pleiades.stoa.org/places/256126,http://dare.ht.lu.se/places/23501.html,https://vici.org/vici/3661/,https://topostext.org/place/383000UCon,38.343.551,-6.411.544,
Ulia,https://pleiades.stoa.org/places/256499,http://dare.ht.lu.se/places/25215,http://vici.org/vici/3692,https://topostext.org/place/376000UUli,37.648.657,-4.698.889,
Ulisi,no info,,,,3.709.654,-438.869,No info Pleiades but geonames for Archidona. 
Urgapa,https://pleiades.stoa.org/places/256500,http://dare.ht.lu.se/places/31324.html,https://vici.org/vici/3688/,,3.720.784,-4.658.062,
Urium,https://pleiades.stoa.org/places/256497,http://dare.ht.lu.se/places/22430.html,https://vici.org/vici/3658/,,37.693.936,-6.591.834,
Urso,https://pleiades.stoa.org/places/256503,http://dare.ht.lu.se/places/22432.html,https://vici.org/vici/3687/,https://topostext.org/place/372000UUrs,372.418.025,-51.010.275,
Usaepo (saepo),https://pleiades.stoa.org/places/256411,http://dare.ht.lu.se/places/31308,http://vici.org/vici/15767,,36.579.768,-5.464.318,
Vama,https://pleiades.stoa.org/places/256510,http://dare.ht.lu.se/places/31325.html,https://vici.org/vici/16077/,,38.490.784,-6.685.149,
Ventippo,https://pleiades.stoa.org/places/256511,http://dare.ht.lu.se/places/31326.html,https://vici.org/vici/15770/,,3.729.389,-4.759.548,
Vergilia,https://pleiades.stoa.org/places/266093,http://dare.ht.lu.se/places/22607.html,https://vici.org/vici/16004/,,37.626.929,-3.538.666,
Vesci,https://pleiades.stoa.org/places/260553,,,,3.657.356,-527.554, 
Vivatia,https://pleiades.stoa.org/places/266099,http://dare.ht.lu.se/places/21358.html,https://vici.org/vici/15297/,,37.5,-3.5,
